	AP008937.1	AP017973.1	AP017974.1	AP024320.1	CP002033.1	CP005958.1	CP011536.1	CP016803.1	CP017151.1	CP019030.1	CP021104.1	CP021790.1	CP021964.1	CP031195.1	CP033371.1	CP034099.1	CP034193.1	CP035054.1	CP035055.1	CP044354.1	CP045034.1	CP047584.1	CP047585.1	CP050919.1	CP053312.1	CP053314.1	CP065522.1	CP067088.1	CP070858.1	CP070935.1	CP070948.1	CP070999.1	CP071000.1	CP071001.1	CP076082.1	CP076446.1	CP082359.1	CP089305.1	CP094655.1	CP095385.1	CP100352.1	CP101688.1	CP102532.1	CP102714.1	CP103293.1	CP103400.1	CP110798.1	CP116617.1	CP116618.1	CP116755.1	CP117933.1	CP118092.1	CP119406.1	CP119425.1	CP120668.1	CP121468.1	CP124737.1	CP127401.1	CP128169.1	CP131058.1	CP132481.1	CP132541.1	CP136242.1	CP139052.1	CP139637.1	CP141807.1	CP145309.1	CP157198.1	CP157592.1	CP157980.1	CP158463.1	CP160833.1	CP165726.1	CP170189.1	CP171795.1	CP172330.1	CP176633.1	CP184765.1	CP188318.1	CP193773.1	CP197007.1	CP199922.1	NZ_AP024320.1	NZ_CP011536.1	NZ_CP016803.1	NZ_CP017151.1	NZ_CP019030.1	NZ_CP021104.1	NZ_CP021790.1	NZ_CP021964.1	NZ_CP031195.1	NZ_CP034099.1	NZ_CP034193.1	NZ_CP035054.1	NZ_CP035055.1	NZ_CP044354.1	NZ_CP045034.1	NZ_CP047584.1	NZ_CP047585.1	NZ_CP050919.1	NZ_CP053312.1	NZ_CP053314.1	NZ_CP065522.1	NZ_CP067088.1	NZ_CP070858.1	NZ_CP070935.1	NZ_CP070948.1	NZ_CP070999.1	NZ_CP071000.1	NZ_CP071001.1	NZ_CP076082.1	NZ_CP076446.1	NZ_CP082359.1	NZ_CP089305.1	NZ_CP094655.1	NZ_CP095385.1	NZ_CP100352.1	NZ_CP101688.1	NZ_CP102532.1	NZ_CP102714.1	NZ_CP103293.1	NZ_CP103400.1	NZ_CP110798.1	NZ_CP116617.1	NZ_CP116618.1	NZ_CP116755.1	NZ_CP117933.1	NZ_CP118092.1	NZ_CP119406.1	NZ_CP119425.1	NZ_CP120668.1	NZ_CP121468.1	NZ_CP124737.1	NZ_CP127401.1	NZ_CP128169.1	NZ_CP131058.1	NZ_CP132481.1	NZ_CP132541.1	NZ_CP136242.1	NZ_CP139052.1	NZ_CP139637.1	NZ_CP141807.1	NZ_CP145309.1	NZ_CP157198.1	NZ_CP157592.1	NZ_CP157980.1	NZ_CP158463.1	NZ_CP160833.1	NZ_CP165726.1	NZ_CP171795.1	NZ_CP176633.1	NZ_CP184765.1	NZ_CP188318.1	NZ_CP193773.1	NZ_CP199922.1
AP008937.1	100.0	97.857254	83.935844	98.652039	99.402969	98.67836	98.510513	98.656876	98.736382	98.584427	98.605789	98.536469	98.757942	98.748123	98.099678	98.290527	98.062103	98.635269	97.525574	98.527451	98.56897	98.522957	97.175148	98.684471	98.045517	97.437424	98.617226	98.703949	98.515457	98.04425	98.603241	98.627556	98.579865	98.570938	98.310936	98.696594	98.57489	98.512222	98.805023	98.997391	98.463425	98.682892	98.574615	97.342705	98.640068	97.490982	98.645683	97.815536	98.423615	98.549545	98.831383	98.543167	97.433533	97.433426	98.716202	97.532127	98.744766	97.419144	97.795349	98.759903	98.726204	98.617836	98.522209	98.055206	98.465912	98.03801	98.669098	98.858521	97.944908	97.406898	98.569489	98.583374	97.498627	98.303619	98.522591	97.501656	98.748283	98.491165	98.626091	97.409943	97.541054	97.497635	98.652039	98.510513	98.656876	98.736382	98.584427	98.605789	98.536469	98.757942	98.748123	98.290527	98.062103	98.635269	97.525574	98.527451	98.56897	98.522957	97.175148	98.684471	98.045517	97.437424	98.617226	98.703949	98.515457	98.04425	98.603241	98.627556	98.579865	98.570938	98.310936	98.696594	98.57489	98.512222	98.805023	98.997391	98.463425	98.682892	98.574615	97.342705	98.640068	97.490982	98.645683	97.815536	98.423615	98.549545	98.831383	98.543167	97.433533	97.433426	98.716202	97.532127	98.744766	97.419144	97.795349	98.759903	98.726204	98.617836	98.522209	98.055206	98.465912	98.03801	98.669098	98.858521	97.944908	97.406898	98.569489	98.583374	97.498627	98.522591	98.748283	98.491165	98.626091	97.409943	97.497635
AP017973.1	97.857254	100.0	82.615173	97.864471	97.867424	97.874886	97.920822	97.902657	97.985474	97.852386	97.87825	97.903183	97.877335	97.78685	97.528679	97.915253	99.022491	97.961876	97.120575	97.875183	97.888588	97.86998	96.937469	97.996582	98.740402	97.174438	97.811356	97.979996	97.941994	98.744789	97.967133	97.927788	97.901855	97.965591	97.944855	97.909164	97.959244	97.840134	97.929802	97.986145	97.723648	97.745148	97.944504	97.016403	97.870239	97.15004	97.924438	98.919434	99.064194	97.863388	98.05513	97.899979	97.105278	97.105339	97.873093	97.157959	98.044281	97.101959	98.808655	97.778282	98.040955	97.910797	97.917648	98.768402	97.831802	98.742966	97.92334	97.94162	98.755905	97.158356	97.839661	97.915909	97.180908	97.865074	97.871544	97.126274	97.994476	97.847885	97.891388	97.240677	97.090042	97.124649	97.864471	97.920822	97.902657	97.985474	97.852386	97.87825	97.903183	97.877335	97.78685	97.915253	99.022491	97.961876	97.120575	97.875183	97.888588	97.86998	96.937469	97.996582	98.740402	97.174438	97.811356	97.979996	97.941994	98.744789	97.967133	97.927788	97.901855	97.965591	97.944855	97.909164	97.959244	97.840134	97.929802	97.986145	97.723648	97.745148	97.944504	97.016403	97.870239	97.15004	97.924438	98.919434	99.064194	97.863388	98.05513	97.899979	97.105278	97.105339	97.873093	97.157959	98.044281	97.101959	98.808655	97.778282	98.040955	97.910797	97.917648	98.768402	97.831802	98.742966	97.92334	97.94162	98.755905	97.158356	97.839661	97.915909	97.180908	97.871544	97.994476	97.847885	97.891388	97.240677	97.124649
AP017974.1	83.935844	82.615173	100.0	83.729797	83.565178	81.665878	82.176781	82.072052	82.490158	82.713242	86.302101	83.039566	87.237961	85.128036	82.104431	82.976295	82.301361	85.69783	83.000198	84.949142	85.478416	87.693031	83.332367	83.862152	82.284454	82.876526	83.981644	86.55867	85.78537	82.137146	82.761047	85.199959	85.843246	86.108704	82.982445	81.932159	85.484062	81.504517	87.437737	85.252396	86.403793	85.727119	85.167328	81.78421	87.153397	82.442146	83.374603	82.596054	82.755371	86.4888	82.605713	86.039154	82.608772	82.608772	84.698166	82.838638	87.787514	82.454857	87.913734	87.630859	82.122375	82.015854	83.978302	82.711395	82.31636	82.71991	83.528183	81.582275	82.374359	82.711685	84.555817	82.664673	82.549393	83.659546	83.145378	82.8908	84.471291	83.216187	82.389236	83.537521	82.951172	82.479218	83.729797	82.176781	82.072052	82.490158	82.713242	86.302101	83.039566	87.237961	85.128036	82.976295	82.301361	85.69783	83.000198	84.949142	85.478416	87.693031	83.332367	83.862152	82.284454	82.876526	83.981644	86.55867	85.78537	82.137146	82.761047	85.199959	85.843246	86.108704	82.982445	81.932159	85.484062	81.504517	87.437737	85.252396	86.403793	85.727119	85.167328	81.78421	87.153397	82.442146	83.374603	82.596054	82.755371	86.4888	82.605713	86.039154	82.608772	82.608772	84.698166	82.838638	87.787514	82.454857	87.913734	87.630859	82.122375	82.015854	83.978302	82.711395	82.31636	82.71991	83.528183	81.582275	82.374359	82.711685	84.555817	82.664673	82.549393	83.145378	84.471291	83.216187	82.389236	83.537521	82.479218
AP024320.1	98.652039	97.864471	83.729797	100.0	98.592453	98.620705	98.498116	98.672058	99.090561	98.66217	98.615433	98.516335	98.691559	98.682007	98.274323	98.386154	98.088799	98.673553	97.40033	98.570465	98.621643	98.637016	97.248177	98.723434	98.015717	97.501648	98.754036	98.60524	98.612793	98.027817	98.714249	98.595718	98.617271	98.619888	98.467941	98.882195	98.57225	98.770287	98.880096	98.727432	98.512596	98.711807	98.604782	97.460709	98.603416	97.551285	98.775055	97.904457	98.436096	98.495132	98.685501	98.586624	97.534355	97.53421	98.477615	97.436516	98.765244	97.52626	97.902122	98.72731	98.750587	98.6353	98.637695	98.044365	98.478638	98.037506	98.846573	98.759186	98.115295	97.452438	98.847885	98.625549	97.47905	98.394928	98.545959	97.456604	98.71627	98.603821	98.618561	97.41713	97.502426	97.558243	100.0	98.498116	98.672058	99.090561	98.66217	98.615433	98.516335	98.691559	98.682007	98.386154	98.088799	98.673553	97.40033	98.570465	98.621643	98.637016	97.248177	98.723434	98.015717	97.501648	98.754036	98.60524	98.612793	98.027817	98.714249	98.595718	98.617271	98.619888	98.467941	98.882195	98.57225	98.770287	98.880096	98.727432	98.512596	98.711807	98.604782	97.460709	98.603416	97.551285	98.775055	97.904457	98.436096	98.495132	98.685501	98.586624	97.534355	97.53421	98.477615	97.436516	98.765244	97.52626	97.902122	98.72731	98.750587	98.6353	98.637695	98.044365	98.478638	98.037506	98.846573	98.759186	98.115295	97.452438	98.847885	98.625549	97.47905	98.545959	98.71627	98.603821	98.618561	97.41713	97.558243
CP002033.1	99.402969	97.867424	83.565178	98.592453	100.0	98.531693	98.562988	98.565498	98.575485	98.516762	98.688339	98.455994	98.623016	98.654442	98.223633	98.273941	97.940025	98.589371	97.405701	98.562668	98.684204	98.493759	97.128815	98.66349	97.965485	97.390144	98.590469	98.664398	98.674469	98.026993	98.48465	98.693092	98.641037	98.688354	98.232239	98.629196	98.690521	98.531555	98.674088	98.846359	98.332886	98.613907	98.701355	97.242989	98.679482	97.450684	98.546829	97.84375	98.473099	99.023369	98.848503	98.605835	97.396133	97.395996	98.582352	97.488579	98.636841	97.390457	97.667641	98.662384	98.810104	98.648834	98.38205	98.007721	98.456947	98.027267	98.538345	98.650749	97.954971	97.398529	98.437531	98.412025	97.407127	98.326065	98.465332	97.450333	98.677139	98.299835	98.671967	97.354019	97.473053	97.458191	98.592453	98.562988	98.565498	98.575485	98.516762	98.688339	98.455994	98.623016	98.654442	98.273941	97.940025	98.589371	97.405701	98.562668	98.684204	98.493759	97.128815	98.66349	97.965485	97.390144	98.590469	98.664398	98.674469	98.026993	98.48465	98.693092	98.641037	98.688354	98.232239	98.629196	98.690521	98.531555	98.674088	98.846359	98.332886	98.613907	98.701355	97.242989	98.679482	97.450684	98.546829	97.84375	98.473099	99.023369	98.848503	98.605835	97.396133	97.395996	98.582352	97.488579	98.636841	97.390457	97.667641	98.662384	98.810104	98.648834	98.38205	98.007721	98.456947	98.027267	98.538345	98.650749	97.954971	97.398529	98.437531	98.412025	97.407127	98.465332	98.677139	98.299835	98.671967	97.354019	97.458191
CP005958.1	98.67836	97.874886	81.665878	98.620705	98.531693	100.0	98.576965	98.581696	98.786697	98.635864	98.548569	98.464325	98.528511	98.654007	98.151619	98.283272	97.972977	98.614517	97.358467	98.463852	98.464798	98.492233	97.231888	98.640915	97.984711	97.651123	98.610733	98.553558	98.539352	97.934219	98.612625	98.49115	98.518524	98.533432	98.264694	99.001343	98.459442	98.833923	99.003792	98.802261	98.577591	98.681244	98.552849	97.661026	98.597031	97.569626	98.503906	97.865814	98.351578	98.531059	98.738266	98.529518	97.481934	97.481796	98.571289	97.621803	98.641708	97.474609	97.852753	98.662323	98.674088	98.552444	98.727303	97.983932	98.43084	97.954788	98.877014	98.834702	98.068718	97.541878	98.614319	98.565834	97.528702	98.350311	98.46711	97.510178	98.598953	98.56546	98.57177	97.57151	97.551758	97.572189	98.620705	98.576965	98.581696	98.786697	98.635864	98.548569	98.464325	98.528511	98.654007	98.283272	97.972977	98.614517	97.358467	98.463852	98.464798	98.492233	97.231888	98.640915	97.984711	97.651123	98.610733	98.553558	98.539352	97.934219	98.612625	98.49115	98.518524	98.533432	98.264694	99.001343	98.459442	98.833923	99.003792	98.802261	98.577591	98.681244	98.552849	97.661026	98.597031	97.569626	98.503906	97.865814	98.351578	98.531059	98.738266	98.529518	97.481934	97.481796	98.571289	97.621803	98.641708	97.474609	97.852753	98.662323	98.674088	98.552444	98.727303	97.983932	98.43084	97.954788	98.877014	98.834702	98.068718	97.541878	98.614319	98.565834	97.528702	98.46711	98.598953	98.56546	98.57177	97.57151	97.572189
CP011536.1	98.510513	97.920822	82.176781	98.498116	98.562988	98.576965	100.0	98.538834	98.56076	98.442894	99.414581	98.510025	98.604858	98.598785	98.296555	98.514481	98.210556	98.578735	97.392853	99.02124	99.409721	98.397232	97.087212	98.816452	97.975266	97.446106	98.700012	98.778641	99.406433	98.066788	98.559509	99.402634	99.420998	99.392548	98.30571	98.515915	99.18132	98.439026	98.651093	98.691589	98.312454	98.662048	99.39798	97.428169	99.359406	97.516571	98.491539	97.920334	98.512527	98.973358	98.932755	98.865807	97.563751	97.563644	98.58905	97.476166	98.605919	97.574432	97.794189	98.605484	98.9058	98.673157	98.44754	97.978668	98.395973	97.923706	98.457962	98.681625	98.035797	97.465027	98.491959	98.471924	97.560211	98.49144	98.523468	97.526688	98.852684	98.577904	98.659187	97.615204	97.540436	97.595383	98.498116	100.0	98.538834	98.56076	98.442894	99.414581	98.510025	98.604858	98.598785	98.514481	98.210556	98.578735	97.392853	99.02124	99.409721	98.397232	97.087212	98.816452	97.975266	97.446106	98.700012	98.778641	99.406433	98.066788	98.559509	99.402634	99.420998	99.392548	98.30571	98.515915	99.18132	98.439026	98.651093	98.691589	98.312454	98.662048	99.39798	97.428169	99.359406	97.516571	98.491539	97.920334	98.512527	98.973358	98.932755	98.865807	97.563751	97.563644	98.58905	97.476166	98.605919	97.574432	97.794189	98.605484	98.9058	98.673157	98.44754	97.978668	98.395973	97.923706	98.457962	98.681625	98.035797	97.465027	98.491959	98.471924	97.560211	98.523468	98.852684	98.577904	98.659187	97.615204	97.595383
CP016803.1	98.656876	97.902657	82.072052	98.672058	98.565498	98.581696	98.538834	100.0	98.720459	98.518219	98.629868	98.801987	98.788429	98.654343	98.232986	98.440887	98.09407	98.496445	97.38623	98.588631	98.653976	98.359711	97.291389	98.623138	97.948402	97.549759	98.56076	98.692345	98.62323	98.022774	98.611137	98.62928	98.610031	98.569672	98.279785	98.544022	98.580475	98.5681	98.702484	98.73494	98.502731	98.639229	98.63588	97.570847	98.560364	97.548439	98.731354	97.818718	98.393356	98.503006	98.744705	98.629211	97.558044	97.557899	98.564804	97.68161	98.73983	97.556503	97.841553	98.789551	98.794327	98.568024	98.489792	98.146095	98.551773	98.093628	98.479446	98.674355	98.003685	97.518311	98.576416	98.656616	97.549316	98.512856	98.666084	97.501122	98.747665	98.396317	98.568375	97.371315	97.504646	97.587021	98.672058	98.538834	100.0	98.720459	98.518219	98.629868	98.801987	98.788429	98.654343	98.440887	98.09407	98.496445	97.38623	98.588631	98.653976	98.359711	97.291389	98.623138	97.948402	97.549759	98.56076	98.692345	98.62323	98.022774	98.611137	98.62928	98.610031	98.569672	98.279785	98.544022	98.580475	98.5681	98.702484	98.73494	98.502731	98.639229	98.63588	97.570847	98.560364	97.548439	98.731354	97.818718	98.393356	98.503006	98.744705	98.629211	97.558044	97.557899	98.564804	97.68161	98.73983	97.556503	97.841553	98.789551	98.794327	98.568024	98.489792	98.146095	98.551773	98.093628	98.479446	98.674355	98.003685	97.518311	98.576416	98.656616	97.549316	98.666084	98.747665	98.396317	98.568375	97.371315	97.587021
CP017151.1	98.736382	97.985474	82.490158	99.090561	98.575485	98.786697	98.56076	98.720459	100.0	98.735397	98.595016	98.62439	98.728592	98.749184	98.346909	98.502312	98.099945	98.736259	97.488441	98.523926	98.594681	98.677193	97.373154	98.660934	98.057831	97.616226	98.739105	98.686661	98.64267	98.043076	98.775536	98.589539	98.614586	98.614014	98.489494	98.855881	98.604172	98.767761	98.928497	98.760406	98.524025	98.690445	98.580414	97.546997	98.505966	97.550362	98.723999	97.944077	98.426193	98.491394	98.697739	98.564392	97.582176	97.582047	98.587524	97.58181	98.799004	97.577911	97.901794	98.768585	98.669601	98.728821	98.786133	98.052979	98.553596	98.02829	98.882019	98.778244	98.084717	97.552139	99.069145	98.725433	97.554359	98.495766	98.670204	97.612732	98.700317	98.636642	98.727806	97.606979	97.592773	97.549835	99.090561	98.56076	98.720459	100.0	98.735397	98.595016	98.62439	98.728592	98.749184	98.502312	98.099945	98.736259	97.488441	98.523926	98.594681	98.677193	97.373154	98.660934	98.057831	97.616226	98.739105	98.686661	98.64267	98.043076	98.775536	98.589539	98.614586	98.614014	98.489494	98.855881	98.604172	98.767761	98.928497	98.760406	98.524025	98.690445	98.580414	97.546997	98.505966	97.550362	98.723999	97.944077	98.426193	98.491394	98.697739	98.564392	97.582176	97.582047	98.587524	97.58181	98.799004	97.577911	97.901794	98.768585	98.669601	98.728821	98.786133	98.052979	98.553596	98.02829	98.882019	98.778244	98.084717	97.552139	99.069145	98.725433	97.554359	98.670204	98.700317	98.636642	98.727806	97.606979	97.549835
CP019030.1	98.584427	97.852386	82.713242	98.66217	98.516762	98.635864	98.442894	98.518219	98.735397	100.0	98.382767	98.604912	98.747971	98.780739	98.168091	98.428574	98.001747	98.627625	97.442787	98.614975	98.371025	98.565414	97.235367	98.580551	97.810829	97.390778	98.603668	98.539841	98.451431	98.007362	98.993286	98.355232	98.307251	98.347908	98.37001	98.639114	98.399109	98.469444	98.682571	98.869507	98.586678	98.725761	98.408745	97.471649	98.379547	97.568344	98.867599	97.857445	98.337067	98.372437	98.635864	98.551285	97.518257	97.518127	98.562408	97.424973	99.094391	97.503845	97.688362	99.193405	98.573151	98.316803	98.514275	97.930817	98.626556	97.926323	98.573395	98.722588	98.01545	97.460236	98.670265	98.960754	97.506218	98.39151	98.697052	97.572617	98.623428	98.573433	98.314896	97.343979	97.558365	97.577087	98.66217	98.442894	98.518219	98.735397	100.0	98.382767	98.604912	98.747971	98.780739	98.428574	98.001747	98.627625	97.442787	98.614975	98.371025	98.565414	97.235367	98.580551	97.810829	97.390778	98.603668	98.539841	98.451431	98.007362	98.993286	98.355232	98.307251	98.347908	98.37001	98.639114	98.399109	98.469444	98.682571	98.869507	98.586678	98.725761	98.408745	97.471649	98.379547	97.568344	98.867599	97.857445	98.337067	98.372437	98.635864	98.551285	97.518257	97.518127	98.562408	97.424973	99.094391	97.503845	97.688362	99.193405	98.573151	98.316803	98.514275	97.930817	98.626556	97.926323	98.573395	98.722588	98.01545	97.460236	98.670265	98.960754	97.506218	98.697052	98.623428	98.573433	98.314896	97.343979	97.577087
