accession,full_header,dist_HvCHS2,dist_CpCHS1,dist_PmSPS1,dist_PhCHS,dist_MsCHS,caffeoyl_anchor_min_dist,pcoumaroyl_anchor_min_dist,differential_score,triad_intact,residue_tier,organism,protein_name
A0A423XC84,tr|A0A423XC84|A0A423XC84_9PEZI,3.4716,3.8101,3.6551,3.5431,3.6121,3.4716,3.5431,-0.0715,True,B_aliphatic_gatekeeper,Cytospora leucostoma,Chalcone synthase
A0A194VDY8,tr|A0A194VDY8|A0A194VDY8_CYTMA,3.4685,3.8071,3.652,3.54,3.609,3.4685,3.54,-0.0715,True,B_aliphatic_gatekeeper,Cytospora mali,"5,7-dihydroxy-2-methylchromone synthase"
A0A423WJ97,tr|A0A423WJ97|A0A423WJ97_CYTCH,3.4821,3.8207,3.6656,3.5536,3.6226,3.4821,3.5536,-0.0715,True,B_aliphatic_gatekeeper,Cytospora chrysosperma,Chalcone/stilbene synthase N-terminal domain-containing protein
A0A423WY23,tr|A0A423WY23|A0A423WY23_9PEZI,3.4808,3.8193,3.6643,3.5523,3.6213,3.4808,3.5523,-0.0715,True,B_aliphatic_gatekeeper,Cytospora schulzeri,Uncharacterized protein
A0ABR1PIT7,tr|A0ABR1PIT7|A0ABR1PIT7_DIAER,3.4977,3.8362,3.6811,3.5691,3.6382,3.4977,3.5691,-0.0715,True,B_aliphatic_gatekeeper,Diaporthe eres,Uncharacterized protein
A0A2P5I7D7,tr|A0A2P5I7D7|A0A2P5I7D7_DIAHE,3.5741,3.9127,3.7576,3.6456,3.7146,3.5741,3.6456,-0.0715,True,B_aliphatic_gatekeeper,Diaporthe helianthi,Chalcone and stilbene synthase
A0AAD9S678,tr|A0AAD9S678|A0AAD9S678_DIAAM,3.5209,3.8594,3.7044,3.5924,3.6614,3.5209,3.5924,-0.0715,True,B_aliphatic_gatekeeper,Diaporthe amygdali,Uncharacterized protein
A0ABR3WUF8,tr|A0ABR3WUF8|A0ABR3WUF8_9PEZI,3.5101,3.8487,3.6936,3.5816,3.6506,3.5101,3.5816,-0.0715,True,B_aliphatic_gatekeeper,Diaporthe australafricana,Uncharacterized protein
A0A9W8YXS9,tr|A0A9W8YXS9|A0A9W8YXS9_9PEZI,3.5019,3.8405,3.6854,3.5734,3.6424,3.5019,3.5734,-0.0715,True,B_aliphatic_gatekeeper,Gnomoniopsis smithogilvyi,Uncharacterized protein
A0A2T3AM58,tr|A0A2T3AM58|A0A2T3AM58_9PEZI,3.5958,3.9344,3.7793,3.6673,3.7363,3.5958,3.6673,-0.0715,True,B_aliphatic_gatekeeper,Coniella lustricola,Thiolase-like protein
A0A9P4XUJ3,tr|A0A9P4XUJ3|A0A9P4XUJ3_CRYP1,3.5545,3.893,3.7379,3.6259,3.695,3.5545,3.6259,-0.0715,True,B_aliphatic_gatekeeper,Cryphonectria parasitica (strain ATCC 38755 / EP155),Thiolase-like protein (Fragment)
A0AAN6NGX2,tr|A0AAN6NGX2|A0AAN6NGX2_9PEZI,3.4739,3.8124,3.6573,3.5453,3.6144,3.4739,3.5453,-0.0715,True,B_aliphatic_gatekeeper,Diplogelasinospora grovesii,Type III polyketide synthase
A0AA40DKV8,tr|A0AA40DKV8|A0AA40DKV8_9PEZI,3.5185,3.857,3.702,3.59,3.659,3.5185,3.59,-0.0715,True,B_aliphatic_gatekeeper,Lasiosphaeris hirsuta,Thiolase-like protein
A0AAE1C8A6,tr|A0AAE1C8A6|A0AAE1C8A6_9PEZI,3.5814,3.92,3.7649,3.6529,3.722,3.5814,3.6529,-0.0715,True,B_aliphatic_gatekeeper,Podospora appendiculata,Thiolase-like protein
A0AAE0I0K3,tr|A0AAE0I0K3|A0AAE0I0K3_9PEZI,3.5577,3.8963,3.7412,3.6292,3.6982,3.5577,3.6292,-0.0715,True,B_aliphatic_gatekeeper,Apodospora peruviana,Type III polyketide synthase
A0AAN7BB51,tr|A0AAN7BB51|A0AAN7BB51_9PEZI,3.6681,4.0067,3.8516,3.7396,3.8086,3.6681,3.7396,-0.0715,True,B_aliphatic_gatekeeper,Rhypophila decipiens,Type III polyketide synthase
A0AA40C8G6,tr|A0AA40C8G6|A0AA40C8G6_9PEZI,3.6331,3.9717,3.8166,3.7046,3.7737,3.6331,3.7046,-0.0715,True,B_aliphatic_gatekeeper,Bombardia bombarda,Thiolase-like protein
A0AAE0NHF8,tr|A0AAE0NHF8|A0AAE0NHF8_9PEZI,3.5208,3.8593,3.7043,3.5923,3.6613,3.5208,3.5923,-0.0715,True,B_aliphatic_gatekeeper,Podospora didyma,Thiolase-like protein
A0AAD9MFN2,tr|A0AAD9MFN2|A0AAD9MFN2_9PEZI,3.5669,3.9054,3.7503,3.6383,3.7074,3.5669,3.6383,-0.0715,True,B_aliphatic_gatekeeper,Phyllachora maydis,Uncharacterized protein
A0A6P8BDL9,tr|A0A6P8BDL9|A0A6P8BDL9_PYRGI,3.6538,3.9923,3.8373,3.7253,3.7943,3.6538,3.7253,-0.0715,True,B_aliphatic_gatekeeper,Pyricularia grisea,Uncharacterized protein
A0ABQ8NUE1,tr|A0ABQ8NUE1|A0ABQ8NUE1_PYRGI,3.6869,4.0254,3.8704,3.7584,3.8274,3.6869,3.7584,-0.0715,True,B_aliphatic_gatekeeper,Pyricularia grisea,Uncharacterized protein
A0A0C4E6R1,tr|A0A0C4E6R1|A0A0C4E6R1_MAGP6,3.64,3.9786,3.8235,3.7115,3.7805,3.64,3.7115,-0.0715,True,B_aliphatic_gatekeeper,Magnaporthiopsis poae (strain ATCC 64411 / 73-15),Uncharacterized protein
J3NIV0,tr|J3NIV0|J3NIV0_GAET3,3.6011,3.9397,3.7846,3.6726,3.7416,3.6011,3.6726,-0.0715,True,B_aliphatic_gatekeeper,Gaeumannomyces tritici (strain R3-111a-1),Uncharacterized protein
A0AAJ0C0C0,tr|A0AAJ0C0C0|A0AAJ0C0C0_9PEZI,3.5815,3.9201,3.765,3.653,3.722,3.5815,3.653,-0.0715,False,D_broken_triad,Phialemonium atrogriseum,Thiolase-like protein
A0A1J7IAV3,tr|A0A1J7IAV3|A0A1J7IAV3_9PEZI,3.6456,3.9841,3.829,3.717,3.7861,3.6456,3.717,-0.0715,True,B_aliphatic_gatekeeper,Coniochaeta ligniaria NRRL 30616,Thiolase-like protein
