Accession,Organism,SpeciesName,BioSampleAccession,BioProjectAccession,AssemblyName,AssemblyLevel,Submitter,ReleaseDate
AP008937.1,Limosilactobacillus fermentum IFO 3956 (firmicutes),Limosilactobacillus fermentum,SAMD00060917,,ASM1014v1,Complete Genome,,
AP017973.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMD00073748,,ASM235613v1,Complete Genome,,
AP017974.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMD00073748,,ASM235613v1,Complete Genome,,
AP024320.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMD00268105,,ASM1686195v1,Complete Genome,,
CP002033.1,Limosilactobacillus fermentum CECT 5716 (firmicutes),Limosilactobacillus fermentum,SAMN02604100,,ASM21051v1,Complete Genome,,
CP005958.1,Limosilactobacillus fermentum F-6 (firmicutes),Limosilactobacillus fermentum,SAMN02603935,,ASM39716v1,Complete Genome,,
CP011536.1,Limosilactobacillus fermentum 3872 (firmicutes),Limosilactobacillus fermentum,SAMN02314197,,ASM46678v3,Complete Genome,,
CP016803.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN04858206,,ASM224261v1,Complete Genome,,
CP017151.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN05510874,,ASM174220v1,Complete Genome,,
CP019030.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN06174220,,ASM194178v1,Complete Genome,,
CP021104.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN06703219,,ASM211964v1,Complete Genome,,
CP021790.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN07192734,,ASM219243v1,Complete Genome,,
CP021964.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN07224244,,ASM325587v1,Complete Genome,,
CP031195.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN05712721,,ASM334679v1,Complete Genome,,
CP033371.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN09701875,,ASM371022v1,Complete Genome,,
CP034099.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10417155,,ASM385565v1,Complete Genome,,
CP034193.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10484493,,ASM386042v1,Complete Genome,,
CP035054.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10737529,,ASM406351v1,Complete Genome,,
CP035055.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10738354,,ASM406363v1,Complete Genome,,
CP044354.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN12786154,,ASM880291v1,Complete Genome,,
CP045034.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN04531192,,ASM967662v1,Complete Genome,,
CP047584.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN13241836,,ASM1103276v1,Complete Genome,,
CP047585.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN13639333,,ASM1103274v1,Complete Genome,,
CP050919.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14470504,,ASM1227303v1,Complete Genome,,
CP053312.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14852229,,ASM4578617v1,Complete Genome,,
CP053314.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14852287,,ASM4660398v1,Complete Genome,,
CP065522.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN16987128,,ASM1888420v1,Complete Genome,,
CP067088.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17214540,,ASM1661769v1,Complete Genome,,
CP070858.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976243,,ASM1706831v1,Complete Genome,,
CP070935.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18012621,,ASM5109493v1,Complete Genome,,
CP070948.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18012614,,ASM5109484v1,Complete Genome,,
CP070999.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976238,,ASM1713433v1,Complete Genome,,
CP071000.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976237,,ASM1713435v1,Complete Genome,,
CP071001.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976236,,ASM1713437v1,Complete Genome,,
CP076082.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18711544,,ASM1873224v1,Complete Genome,,
CP076446.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN19589998,,ASM1886626v1,Complete Genome,,
CP082359.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN21157785,,ASM1989087v1,Complete Genome,,
CP089305.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN23798833,,ASM2361219v1,Complete Genome,,
CP094655.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN26885050,,ASM2281924v1,Complete Genome,,
CP095385.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN27397806,,ASM2463793v1,Complete Genome,,
CP100352.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29360653,,ASM2420462v1,Complete Genome,,
CP101688.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29861940,,ASM2449450v1,Complete Genome,,
CP102532.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29862209,,ASM2466519v1,Complete Genome,,
CP102714.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29328592,,ASM2405425v2,Complete Genome,,
CP103293.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN08290293,,ASM286982v2,Complete Genome,,
CP103400.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN30472492,,ASM2480058v1,Complete Genome,,
CP110798.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN31580341,,ASM2618421v1,Complete Genome,,
CP116617.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN32634712,,ASM3259882v1,Complete Genome,,
CP116618.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN31826480,,ASM3259884v1,Complete Genome,,
CP116755.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN32317227,,ASM2846394v1,Complete Genome,,
CP117933.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33228557,,ASM2874309v1,Complete Genome,,
CP118092.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33275432,,ASM2901182v1,Complete Genome,,
CP119406.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33591107,,ASM2922396v1,Complete Genome,,
CP119425.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33591059,,ASM2922392v1,Complete Genome,,
