Cluster_ID,Protein_ID
cluster_1,CP071001.1_proteins|CP071001.1_1
cluster_1,CP035055.1_proteins|CP035055.1_1390
cluster_1,CP132541.1_proteins|CP132541.1_1
cluster_1,NZ_CP045034.1_proteins|NZ_CP045034.1_565
cluster_1,NZ_CP131058.1_proteins|NZ_CP131058.1_1
cluster_1,NZ_CP094655.1_proteins|NZ_CP094655.1_1
cluster_1,NZ_CP017151.1_proteins|NZ_CP017151.1_890
cluster_1,CP082359.1_proteins|CP082359.1_1
cluster_1,NZ_CP021104.1_proteins|NZ_CP021104.1_1
cluster_1,NZ_CP119406.1_proteins|NZ_CP119406.1_1813
cluster_1,CP199922.1_proteins|CP199922.1_1574
cluster_1,NZ_CP171795.1_proteins|NZ_CP171795.1_1273
cluster_1,CP016803.1_proteins|CP016803.1_1185
cluster_1,AP024320.1_proteins|AP024320.1_542
cluster_1,NZ_CP176633.1_proteins|NZ_CP176633.1_153
cluster_1,CP101688.1_proteins|CP101688.1_1
cluster_1,NZ_CP158463.1_proteins|NZ_CP158463.1_609
cluster_1,NZ_CP124737.1_proteins|NZ_CP124737.1_1461
cluster_1,CP067088.1_proteins|CP067088.1_1
cluster_1,NZ_CP193773.1_proteins|NZ_CP193773.1_1
cluster_1,NZ_CP102714.1_proteins|NZ_CP102714.1_2
cluster_1,NZ_CP139052.1_proteins|NZ_CP139052.1_1
cluster_1,NZ_CP035054.1_proteins|NZ_CP035054.1_2094
cluster_1,NZ_CP102532.1_proteins|NZ_CP102532.1_1
cluster_1,NZ_CP103293.1_proteins|NZ_CP103293.1_1
cluster_1,NZ_CP070935.1_proteins|NZ_CP070935.1_1
cluster_1,NZ_CP145309.1_proteins|NZ_CP145309.1_1
cluster_1,CP197007.1_proteins|CP197007.1_897
cluster_1,NZ_CP121468.1_proteins|NZ_CP121468.1_1
cluster_1,NZ_CP117933.1_proteins|NZ_CP117933.1_1698
cluster_1,CP117933.1_proteins|CP117933.1_1698
cluster_1,CP165726.1_proteins|CP165726.1_1
cluster_1,CP031195.1_proteins|CP031195.1_1518
cluster_1,CP089305.1_proteins|CP089305.1_605
cluster_1,CP157592.1_proteins|CP157592.1_1782
cluster_1,CP139637.1_proteins|CP139637.1_2
cluster_1,CP116618.1_proteins|CP116618.1_1
cluster_1,CP121468.1_proteins|CP121468.1_1
cluster_1,CP119425.1_proteins|CP119425.1_1813
cluster_1,NZ_CP119425.1_proteins|NZ_CP119425.1_1813
cluster_1,NZ_CP128169.1_proteins|NZ_CP128169.1_1
cluster_1,NZ_CP034099.1_proteins|NZ_CP034099.1_757
cluster_1,NZ_CP136242.1_proteins|NZ_CP136242.1_1
cluster_1,CP160833.1_proteins|CP160833.1_1
cluster_1,CP053312.1_proteins|CP053312.1_1
cluster_1,CP076446.1_proteins|CP076446.1_1
cluster_1,CP124737.1_proteins|CP124737.1_1461
cluster_1,NZ_CP071001.1_proteins|NZ_CP071001.1_1
cluster_1,NZ_CP157198.1_proteins|NZ_CP157198.1_1
cluster_1,CP118092.1_proteins|CP118092.1_1
cluster_1,CP119406.1_proteins|CP119406.1_1813
cluster_1,NZ_CP019030.1_proteins|NZ_CP019030.1_1004
cluster_1,CP102532.1_proteins|CP102532.1_1
cluster_1,NZ_CP157592.1_proteins|NZ_CP157592.1_1782
cluster_1,NZ_CP076082.1_proteins|NZ_CP076082.1_1494
cluster_1,NZ_CP011536.1_proteins|NZ_CP011536.1_1
cluster_1,CP021104.1_proteins|CP021104.1_1
cluster_1,NZ_CP184765.1_proteins|NZ_CP184765.1_1
cluster_1,CP070935.1_proteins|CP070935.1_1
cluster_1,CP094655.1_proteins|CP094655.1_1
cluster_1,CP184765.1_proteins|CP184765.1_1
cluster_1,CP002033.1_proteins|CP002033.1_2
cluster_1,CP047585.1_proteins|CP047585.1_1
cluster_1,NZ_CP070948.1_proteins|NZ_CP070948.1_1
cluster_1,CP053314.1_proteins|CP053314.1_1
cluster_1,CP188318.1_proteins|CP188318.1_1
cluster_1,CP170189.1_proteins|CP170189.1_537
cluster_1,CP071000.1_proteins|CP071000.1_1
cluster_1,NZ_CP101688.1_proteins|NZ_CP101688.1_1
cluster_1,CP047584.1_proteins|CP047584.1_1
cluster_1,NZ_CP141807.1_proteins|NZ_CP141807.1_1
cluster_1,CP127401.1_proteins|CP127401.1_1813
cluster_1,CP139052.1_proteins|CP139052.1_1
cluster_1,NZ_CP116618.1_proteins|NZ_CP116618.1_1
cluster_1,AP017973.1_proteins|AP017973.1_1
cluster_1,NZ_CP127401.1_proteins|NZ_CP127401.1_1813
cluster_1,NZ_CP076446.1_proteins|NZ_CP076446.1_1
cluster_1,CP172330.1_proteins|CP172330.1_1551
cluster_1,NZ_CP047585.1_proteins|NZ_CP047585.1_1
cluster_1,CP019030.1_proteins|CP019030.1_1004
cluster_1,NZ_CP070999.1_proteins|NZ_CP070999.1_1
cluster_1,CP120668.1_proteins|CP120668.1_1
cluster_1,CP145309.1_proteins|CP145309.1_1
cluster_1,NZ_CP157980.1_proteins|NZ_CP157980.1_1
cluster_1,CP102714.1_proteins|CP102714.1_2
cluster_1,CP110798.1_proteins|CP110798.1_1
cluster_1,CP011536.1_proteins|CP011536.1_1
cluster_1,NZ_CP050919.1_proteins|NZ_CP050919.1_1
cluster_1,CP157198.1_proteins|CP157198.1_1
cluster_1,CP070948.1_proteins|CP070948.1_1
cluster_1,NZ_CP132541.1_proteins|NZ_CP132541.1_1
cluster_1,NZ_AP024320.1_proteins|NZ_AP024320.1_542
cluster_1,CP070999.1_proteins|CP070999.1_1
cluster_1,CP131058.1_proteins|CP131058.1_1
cluster_1,CP050919.1_proteins|CP050919.1_1
cluster_1,NZ_CP067088.1_proteins|NZ_CP067088.1_1
cluster_1,CP021964.1_proteins|CP021964.1_1
cluster_1,CP070858.1_proteins|CP070858.1_1
cluster_1,CP158463.1_proteins|CP158463.1_609
cluster_1,CP171795.1_proteins|CP171795.1_1273
cluster_1,CP034193.1_proteins|CP034193.1_1
cluster_1,NZ_CP021790.1_proteins|NZ_CP021790.1_716
cluster_1,CP176633.1_proteins|CP176633.1_153
cluster_1,CP103400.1_proteins|CP103400.1_1311
cluster_1,NZ_CP065522.1_proteins|NZ_CP065522.1_1
cluster_1,CP103293.1_proteins|CP103293.1_1
cluster_1,NZ_CP034193.1_proteins|NZ_CP034193.1_1
cluster_1,NZ_CP053312.1_proteins|NZ_CP053312.1_1
cluster_1,NZ_CP070858.1_proteins|NZ_CP070858.1_1
cluster_1,NZ_CP110798.1_proteins|NZ_CP110798.1_1
cluster_1,NZ_CP120668.1_proteins|NZ_CP120668.1_1
cluster_1,NZ_CP188318.1_proteins|NZ_CP188318.1_1
cluster_1,NZ_CP095385.1_proteins|NZ_CP095385.1_1
cluster_1,CP100352.1_proteins|CP100352.1_2097
cluster_1,CP116755.1_proteins|CP116755.1_1
cluster_1,NZ_CP116755.1_proteins|NZ_CP116755.1_1
cluster_1,CP128169.1_proteins|CP128169.1_1
cluster_1,NZ_CP044354.1_proteins|NZ_CP044354.1_2092
cluster_1,NZ_CP139637.1_proteins|NZ_CP139637.1_2
cluster_1,NZ_CP165726.1_proteins|NZ_CP165726.1_1
cluster_1,NZ_CP021964.1_proteins|NZ_CP021964.1_1
cluster_1,NZ_CP082359.1_proteins|NZ_CP082359.1_1
cluster_1,CP132481.1_proteins|CP132481.1_1606
cluster_1,CP076082.1_proteins|CP076082.1_1494
cluster_1,CP065522.1_proteins|CP065522.1_1
cluster_1,NZ_CP071000.1_proteins|NZ_CP071000.1_1
cluster_1,NZ_CP047584.1_proteins|NZ_CP047584.1_1
cluster_1,NZ_CP116617.1_proteins|NZ_CP116617.1_1
cluster_1,NZ_CP132481.1_proteins|NZ_CP132481.1_1606
cluster_1,NZ_CP035055.1_proteins|NZ_CP035055.1_1390
cluster_1,NZ_CP199922.1_proteins|NZ_CP199922.1_1574
cluster_1,CP021790.1_proteins|CP021790.1_716
cluster_1,NZ_CP089305.1_proteins|NZ_CP089305.1_605
cluster_1,NZ_CP100352.1_proteins|NZ_CP100352.1_2097
cluster_1,CP045034.1_proteins|CP045034.1_565
cluster_1,NZ_CP118092.1_proteins|NZ_CP118092.1_1
cluster_1,CP035054.1_proteins|CP035054.1_2094
cluster_1,NZ_CP016803.1_proteins|NZ_CP016803.1_1185
cluster_1,CP044354.1_proteins|CP044354.1_2092
cluster_1,NZ_CP103400.1_proteins|NZ_CP103400.1_1311
cluster_1,CP157980.1_proteins|CP157980.1_1
cluster_1,CP141807.1_proteins|CP141807.1_1
cluster_1,NZ_CP053314.1_proteins|NZ_CP053314.1_1
cluster_1,CP034099.1_proteins|CP034099.1_757
cluster_1,CP005958.1_proteins|CP005958.1_1
cluster_1,CP136242.1_proteins|CP136242.1_1
cluster_1,CP095385.1_proteins|CP095385.1_1
cluster_1,NZ_CP160833.1_proteins|NZ_CP160833.1_1
cluster_1,CP017151.1_proteins|CP017151.1_890
cluster_1,CP193773.1_proteins|CP193773.1_1
cluster_1,NZ_CP031195.1_proteins|NZ_CP031195.1_1518
cluster_1,AP008937.1_proteins|AP008937.1_1
cluster_1,CP116617.1_proteins|CP116617.1_1
cluster_2,NZ_CP116617.1_proteins|NZ_CP116617.1_2
cluster_2,NZ_CP035054.1_proteins|NZ_CP035054.1_2093
cluster_2,CP170189.1_proteins|CP170189.1_538
cluster_2,CP067088.1_proteins|CP067088.1_2
cluster_2,CP176633.1_proteins|CP176633.1_152
cluster_2,NZ_CP132541.1_proteins|NZ_CP132541.1_2
cluster_2,NZ_CP141807.1_proteins|NZ_CP141807.1_2
cluster_2,CP119406.1_proteins|CP119406.1_1814
cluster_2,CP050919.1_proteins|CP050919.1_2
cluster_2,NZ_CP047584.1_proteins|NZ_CP047584.1_2
cluster_2,CP103400.1_proteins|CP103400.1_1312
cluster_2,CP101688.1_proteins|CP101688.1_2
cluster_2,CP136242.1_proteins|CP136242.1_2
cluster_2,NZ_CP021790.1_proteins|NZ_CP021790.1_717
cluster_2,CP116755.1_proteins|CP116755.1_2
cluster_2,CP132481.1_proteins|CP132481.1_1607
cluster_2,NZ_CP035055.1_proteins|NZ_CP035055.1_1389
cluster_2,CP095385.1_proteins|CP095385.1_2
cluster_2,CP172330.1_proteins|CP172330.1_1550
cluster_2,NZ_CP127401.1_proteins|NZ_CP127401.1_1814
cluster_2,CP034099.1_proteins|CP034099.1_756
cluster_2,NZ_CP131058.1_proteins|NZ_CP131058.1_2
cluster_2,CP021964.1_proteins|CP021964.1_2
cluster_2,NZ_CP101688.1_proteins|NZ_CP101688.1_2
cluster_2,AP008937.1_proteins|AP008937.1_2
cluster_2,NZ_CP070999.1_proteins|NZ_CP070999.1_2
cluster_2,CP070948.1_proteins|CP070948.1_2
cluster_2,NZ_CP132481.1_proteins|NZ_CP132481.1_1607
cluster_2,CP011536.1_proteins|CP011536.1_2
cluster_2,NZ_CP139637.1_proteins|NZ_CP139637.1_1
cluster_2,CP128169.1_proteins|CP128169.1_2
cluster_2,NZ_CP071001.1_proteins|NZ_CP071001.1_2
cluster_2,CP017151.1_proteins|CP017151.1_891
cluster_2,NZ_AP024320.1_proteins|NZ_AP024320.1_541
cluster_2,CP171795.1_proteins|CP171795.1_1274
cluster_2,NZ_CP120668.1_proteins|NZ_CP120668.1_2
cluster_2,NZ_CP145309.1_proteins|NZ_CP145309.1_2
cluster_2,CP002033.1_proteins|CP002033.1_3
cluster_2,CP116617.1_proteins|CP116617.1_2
cluster_2,CP035055.1_proteins|CP035055.1_1389
cluster_2,CP053314.1_proteins|CP053314.1_2
cluster_2,AP017973.1_proteins|AP017973.1_2
cluster_2,CP127401.1_proteins|CP127401.1_1814
cluster_2,CP019030.1_proteins|CP019030.1_1003
cluster_2,NZ_CP044354.1_proteins|NZ_CP044354.1_2093
cluster_2,CP119425.1_proteins|CP119425.1_1814
cluster_2,NZ_CP171795.1_proteins|NZ_CP171795.1_1274
cluster_2,CP165726.1_proteins|CP165726.1_2
cluster_2,NZ_CP160833.1_proteins|NZ_CP160833.1_2
cluster_2,NZ_CP045034.1_proteins|NZ_CP045034.1_566
cluster_2,CP021790.1_proteins|CP021790.1_717
cluster_2,CP035054.1_proteins|CP035054.1_2093
cluster_2,NZ_CP157592.1_proteins|NZ_CP157592.1_1783
cluster_2,NZ_CP157980.1_proteins|NZ_CP157980.1_2
cluster_2,CP034193.1_proteins|CP034193.1_2
cluster_2,CP047584.1_proteins|CP047584.1_2
cluster_2,CP076446.1_proteins|CP076446.1_2
cluster_2,CP197007.1_proteins|CP197007.1_898
cluster_2,NZ_CP139052.1_proteins|NZ_CP139052.1_2
cluster_2,CP132541.1_proteins|CP132541.1_2
cluster_2,CP145309.1_proteins|CP145309.1_2
cluster_2,NZ_CP110798.1_proteins|NZ_CP110798.1_2
cluster_2,NZ_CP017151.1_proteins|NZ_CP017151.1_891
cluster_2,CP139637.1_proteins|CP139637.1_1
cluster_2,CP121468.1_proteins|CP121468.1_2
cluster_2,CP103293.1_proteins|CP103293.1_2
cluster_2,NZ_CP136242.1_proteins|NZ_CP136242.1_2
cluster_2,NZ_CP128169.1_proteins|NZ_CP128169.1_2
cluster_2,NZ_CP067088.1_proteins|NZ_CP067088.1_2
cluster_2,NZ_CP157198.1_proteins|NZ_CP157198.1_2
cluster_2,CP118092.1_proteins|CP118092.1_2
cluster_2,NZ_CP070858.1_proteins|NZ_CP070858.1_2
cluster_2,NZ_CP158463.1_proteins|NZ_CP158463.1_608
cluster_2,CP157980.1_proteins|CP157980.1_2
cluster_2,NZ_CP082359.1_proteins|NZ_CP082359.1_2
cluster_2,CP053312.1_proteins|CP053312.1_2
cluster_2,NZ_CP184765.1_proteins|NZ_CP184765.1_2
cluster_2,CP044354.1_proteins|CP044354.1_2093
cluster_2,NZ_CP070935.1_proteins|NZ_CP070935.1_2
cluster_2,NZ_CP165726.1_proteins|NZ_CP165726.1_2
cluster_2,CP047585.1_proteins|CP047585.1_2
cluster_2,NZ_CP070948.1_proteins|NZ_CP070948.1_2
cluster_2,CP139052.1_proteins|CP139052.1_2
cluster_2,CP199922.1_proteins|CP199922.1_1573
cluster_2,CP131058.1_proteins|CP131058.1_2
cluster_2,NZ_CP031195.1_proteins|NZ_CP031195.1_1519
cluster_2,NZ_CP053312.1_proteins|NZ_CP053312.1_2
cluster_2,CP005958.1_proteins|CP005958.1_2
cluster_2,CP157592.1_proteins|CP157592.1_1783
cluster_2,CP141807.1_proteins|CP141807.1_2
cluster_2,NZ_CP071000.1_proteins|NZ_CP071000.1_2
cluster_2,NZ_CP089305.1_proteins|NZ_CP089305.1_604
cluster_2,NZ_CP176633.1_proteins|NZ_CP176633.1_152
