candidate_accession,matched_characterized_gene,match_containment,coumaroyl_CoA_active_real_data,n_substrates_active_of_11,active_substrates_real_data
W3WYM6,PficPKS,1.0,0,6,"N-CH3-anthraniloyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,oleoyl-coa"
A0ACB7NUY9,CgloPKS,1.0,0,7,"N-CH3-anthraniloyl-coa,acetyl-coa,benzoyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa"
A0A162JF80,SinsPKS,1.0,0,2,"decanoyl-coa,myristoyl-coa"
A0A2W1FIY5,PtriPKS,1.0,0,1,oleoyl-coa
A0A194VDY8,VmalPKS,1.0,0,4,"decanoyl-coa,hexanoyl-coa,myristoyl-coa,oleoyl-coa"
A0A2P5I7D7,DhelPKS,1.0,0,5,"N-CH3-anthraniloyl-coa,decanoyl-coa,hexanoyl-coa,myristoyl-coa,oleoyl-coa"
A0ACD1IH72,AcosPKS,1.0,0,10,"N-CH3-anthraniloyl-coa,acetyl-coa,benzoyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,oleoyl-coa,phenylacetyl-coa,phytanoyl-coa"
A0A5N6V0I9,AtamPKS2,1.0,0,0,
A0ABQ8NUE1,MoryPKS,1.0,0,5,"N-CH3-anthraniloyl-coa,decanoyl-coa,hexanoyl-coa,myristoyl-coa,oleoyl-coa"
A0A2G7GAE9,AserPKS2,0.858,0,7,"benzoyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,oleoyl-coa,phytanoyl-coa"
A0A059J6Q8,TtonPKS,0.824,0,6,"benzoyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,phytanoyl-coa"
A0A553HLF1,XacuPKS1,0.791,1,6,"coumaroyl-coa,decanoyl-coa,hexanoyl-coa,myristoyl-coa,phenylacetyl-coa,phytanoyl-coa"
P0DUK2,AlupPKS2,0.767,0,0,
A0A8H7TDR2,CadPKS,0.744,0,0,
A0A0D2BWQ8,FerePKS,0.7,0,8,"N-CH3-anthraniloyl-coa,acetyl-coa,benzoyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,phenylacetyl-coa"
A0ABR4GLN7,AthePKS,0.693,0,6,"N-CH3-anthraniloyl-coa,benzoyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa"
A0A317USQ3,AastPKS,0.683,0,6,"benzoyl-coa,decanoyl-coa,hexanoyl-coa,myristoyl-coa,oleoyl-coa,phytanoyl-coa"
A0A9P5E2B7,FmanPKS,0.658,0,0,
A0ABR1PIT7,DliqPKS,0.655,0,4,"decanoyl-coa,hexanoyl-coa,myristoyl-coa,oleoyl-coa"
A0A553I235,XacuPKS2,0.567,0,5,"N-CH3-anthraniloyl-coa,decanoyl-coa,hexanoyl-coa,myristoyl-coa,oleoyl-coa"
A0A2I2GDC6,AsesPKS,0.508,0,3,"decanoyl-coa,hexanoyl-coa,myristoyl-coa"
A0A7C8IWR1,HargPKS2,0.392,0,5,"N-CH3-anthraniloyl-coa,decanoyl-coa,hexanoyl-coa,myristoyl-coa,oleoyl-coa"
A0A2J6TDB9,XylPKS,0.311,0,2,"oleoyl-coa,phenylacetyl-coa"
A0ACB9YP28,BiscPKS,0.303,0,0,
P0DUK2,AiizPKS,0.289,1,9,"N-CH3-anthraniloyl-coa,acetyl-coa,benzoyl-coa,coumaroyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,phenylacetyl-coa"
P0DUK2,AlupPKS1,0.251,1,7,"benzoyl-coa,coumaroyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,phenylacetyl-coa"
A0ABR1NRM7,PhCHS,0.006,1,8,"acetyl-coa,benzoyl-coa,coumaroyl-coa,decanoyl-coa,hexanoyl-coa,methylcrotonyl-coa,myristoyl-coa,phenylacetyl-coa"
